,platform,launch_month,ad_category_id,dev_cost,marketing_cost,users_reached,downloads_or_accesses,avg_bounce_rate,cumulative_feedback_from_customers,city_id
9684,Responsive Web Version,2021-01,A001,164747,71093,22069,14015,30.64,nan,C211
9685,Responsive Web Version,2021-02,A004,170626,55096,17863,7440,50.17,"The site takes too long to load on average phones.
People didn’t wait around.",C211
9686,Responsive Web Version,2021-03,A003,270692,86345,32266,14015,63.37,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C211
9687,Responsive Web Version,2021-04,A003,120474,29917,31219,13203,51.15,nan,C211
9688,Responsive Web Version,2021-05,A004,143227,74558,24232,15510,72.04,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C211
9689,Responsive Web Version,2021-06,A003,199846,39999,22262,15938,51.95,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C211
9690,Responsive Web Version,2021-07,A001,56825,58790,29901,13867,65.5,nan,C211
9691,Responsive Web Version,2021-08,A004,282378,79510,15746,13185,103.85,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C211
9692,Responsive Web Version,2021-09,A001,155333,57496,28666,12347,68.0,"The site takes too long to load on average phones.
People didn’t wait around.",C211
9693,Responsive Web Version,2021-10,A003,196584,102989,37055,15143,91.12,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C211
9694,Responsive Web Version,2021-11,A002,327174,51087,28627,6321,50.98,nan,C211
9695,Responsive Web Version,2021-12,A004,230032,34053,10675,15982,61.27,nan,C211
9696,PDF WhatsApp Push,2021-01,A001,256312,70930,36027,19794,47.71,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9697,PDF WhatsApp Push,2021-02,A004,271734,49781,31117,9275,49.04,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C212
9698,PDF WhatsApp Push,2021-03,A003,207160,88251,33255,11512,92.84,nan,C212
9699,PDF WhatsApp Push,2021-04,A002,164472,52248,21053,15568,76.52,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9700,PDF WhatsApp Push,2021-05,A004,173007,126764,9646,20893,67.89,nan,C212
9701,PDF WhatsApp Push,2021-06,A004,255569,43094,18305,10174,70.95,"The site takes too long to load on average phones.
People didn’t wait around.",C212
9702,PDF WhatsApp Push,2021-07,A002,156268,70928,22723,22205,65.97,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9703,PDF WhatsApp Push,2021-08,A003,288340,35831,26404,13418,66.63,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9704,PDF WhatsApp Push,2021-09,A003,214565,68029,21033,23711,71.91,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C212
9705,PDF WhatsApp Push,2021-10,A001,237336,82466,32591,11768,69.16,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9706,PDF WhatsApp Push,2021-11,A002,223508,86244,21207,18768,70.67,"The site takes too long to load on average phones.
People didn’t wait around.",C212
9707,PDF WhatsApp Push,2021-12,A001,144722,47067,24749,12822,108.15,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C212
9708,E-paper Mobile Web,2021-01,A001,131403,68128,34248,16610,32.19,"The site takes too long to load on average phones.
People didn’t wait around.",C212
9709,E-paper Mobile Web,2021-02,A001,232758,43674,43282,16148,73.79,"The site takes too long to load on average phones.
People didn’t wait around.",C212
9710,E-paper Mobile Web,2021-03,A002,260896,70802,24596,15747,90.81,"The site takes too long to load on average phones.
People didn’t wait around.",C212
9711,E-paper Mobile Web,2021-04,A001,161059,89171,36306,16044,77.23,"The site takes too long to load on average phones.
People didn’t wait around.",C212
9712,E-paper Mobile Web,2021-05,A003,202459,75840,15850,11132,69.81,"The site takes too long to load on average phones.
People didn’t wait around.",C212
9713,E-paper Mobile Web,2021-06,A001,200979,27429,25432,16229,84.63,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9714,E-paper Mobile Web,2021-07,A001,266101,66839,35637,17647,45.44,nan,C212
9715,E-paper Mobile Web,2021-08,A003,162009,67891,21638,12656,73.01,nan,C212
9716,E-paper Mobile Web,2021-09,A003,155868,72980,27845,9340,61.63,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C212
9717,E-paper Mobile Web,2021-10,A003,245148,90064,14046,15256,51.69,nan,C212
9718,E-paper Mobile Web,2021-11,A003,200970,84624,24177,10105,81.04,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9719,E-paper Mobile Web,2021-12,A003,166909,92316,37275,15047,56.98,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9720,Mobile App Beta,2021-01,A004,228976,48236,5906,17294,62.75,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9721,Mobile App Beta,2021-02,A003,252717,105915,28699,27341,62.01,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C212
9722,Mobile App Beta,2021-03,A004,287073,71642,25031,13786,49.34,"The site takes too long to load on average phones.
People didn’t wait around.",C212
9723,Mobile App Beta,2021-04,A001,136865,91835,35102,17306,72.03,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C212
9724,Mobile App Beta,2021-05,A001,303114,80026,26907,13435,54.35,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C212
9725,Mobile App Beta,2021-06,A004,178003,67856,25656,6042,81.79,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C212
9726,Mobile App Beta,2021-07,A004,128507,80144,21019,11731,29.05,"The site takes too long to load on average phones.
People didn’t wait around.",C212
9727,Mobile App Beta,2021-08,A004,178262,103583,36343,11344,56.19,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C212
9728,Mobile App Beta,2021-09,A002,263655,60585,36272,16426,65.42,nan,C212
9729,Mobile App Beta,2021-10,A002,199253,56798,24327,19119,96.41,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9730,Mobile App Beta,2021-11,A003,197309,59657,29569,7098,89.61,"The site takes too long to load on average phones.
People didn’t wait around.",C212
9731,Mobile App Beta,2021-12,A003,113388,62059,19912,13293,74.67,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C212
9732,Responsive Web Version,2021-01,A002,235716,49716,25857,8842,100.28,"The site takes too long to load on average phones.
People didn’t wait around.",C212
9733,Responsive Web Version,2021-02,A003,164855,65157,26319,13839,55.22,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C212
9734,Responsive Web Version,2021-03,A002,211304,64730,14663,16774,73.37,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9735,Responsive Web Version,2021-04,A002,234467,89204,32727,11878,102.73,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9736,Responsive Web Version,2021-05,A003,211006,46694,20750,11628,74.26,nan,C212
9737,Responsive Web Version,2021-06,A003,225995,60507,32991,17752,62.65,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9738,Responsive Web Version,2021-07,A004,157515,29336,20326,7719,55.98,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9739,Responsive Web Version,2021-08,A004,183792,109312,33076,9538,34.5,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9740,Responsive Web Version,2021-09,A001,217931,57249,14693,9294,32.91,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C212
9741,Responsive Web Version,2021-10,A004,215813,85466,18366,17537,57.07,"The site takes too long to load on average phones.
People didn’t wait around.",C212
9742,Responsive Web Version,2021-11,A004,219735,72030,28944,15045,48.25,nan,C212
9743,Responsive Web Version,2021-12,A004,136289,56700,18421,9448,67.41,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C212
9744,PDF WhatsApp Push,2021-01,A001,259847,77782,21449,8799,60.93,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C213
9745,PDF WhatsApp Push,2021-02,A002,280003,46443,14724,9003,68.14,"The site takes too long to load on average phones.
People didn’t wait around.",C213
9746,PDF WhatsApp Push,2021-03,A003,125248,37122,34902,8716,52.96,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C213
9747,PDF WhatsApp Push,2021-04,A004,208859,105446,38318,2384,50.69,"The site takes too long to load on average phones.
People didn’t wait around.",C213
9748,PDF WhatsApp Push,2021-05,A004,186485,45774,17519,17465,65.29,nan,C213
9749,PDF WhatsApp Push,2021-06,A002,176901,60455,33893,24814,54.4,nan,C213
9750,PDF WhatsApp Push,2021-07,A001,224950,78208,27586,20367,61.88,nan,C213
9751,PDF WhatsApp Push,2021-08,A004,251759,30032,11753,12763,64.97,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C213
9752,PDF WhatsApp Push,2021-09,A002,260423,69284,34205,11818,51.13,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C213
9753,PDF WhatsApp Push,2021-10,A003,168457,69688,23605,22978,54.35,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C213
9754,PDF WhatsApp Push,2021-11,A004,246986,100393,9421,15033,64.64,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C213
9755,PDF WhatsApp Push,2021-12,A001,266112,58136,32842,16798,51.53,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C213
9756,E-paper Mobile Web,2021-01,A001,212809,78875,28532,13777,55.69,nan,C213
9757,E-paper Mobile Web,2021-02,A002,218453,82906,34014,8406,58.09,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C213
9758,E-paper Mobile Web,2021-03,A002,246364,47568,28500,15968,74.0,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C213
9759,E-paper Mobile Web,2021-04,A003,286005,77420,7469,15189,53.55,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C213
9760,E-paper Mobile Web,2021-05,A004,180422,92270,22580,19081,52.2,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C213
9761,E-paper Mobile Web,2021-06,A004,195121,41540,21666,18064,57.61,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C213
9762,E-paper Mobile Web,2021-07,A004,225012,55405,31782,10679,68.02,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C213
9763,E-paper Mobile Web,2021-08,A003,211553,59072,31612,11977,53.13,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C213
9764,E-paper Mobile Web,2021-09,A003,123794,85026,12753,11036,67.22,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C213
9765,E-paper Mobile Web,2021-10,A001,267596,52743,29947,21847,89.61,"The site takes too long to load on average phones.
People didn’t wait around.",C213
9766,E-paper Mobile Web,2021-11,A003,158267,65045,32481,13170,53.99,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C213
9767,E-paper Mobile Web,2021-12,A002,248085,68600,38101,18541,63.22,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C213
9768,Mobile App Beta,2021-01,A002,159729,98566,15075,18910,58.23,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C213
9769,Mobile App Beta,2021-02,A003,185305,83024,26594,14568,62.19,"The site takes too long to load on average phones.
People didn’t wait around.",C213
9770,Mobile App Beta,2021-03,A003,156463,84361,44927,13110,103.05,"The site takes too long to load on average phones.
People didn’t wait around.",C213
9771,Mobile App Beta,2021-04,A002,244403,112562,32248,8576,55.43,"The site takes too long to load on average phones.
People didn’t wait around.",C213
9772,Mobile App Beta,2021-05,A003,244954,57885,24604,12188,78.05,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C213
9773,Mobile App Beta,2021-06,A001,158426,88733,18166,16765,55.11,"The site takes too long to load on average phones.
People didn’t wait around.",C213
9774,Mobile App Beta,2021-07,A001,206155,92770,26426,17966,50.4,nan,C213
9775,Mobile App Beta,2021-08,A002,252808,75528,20577,13883,39.98,"The site takes too long to load on average phones.
People didn’t wait around.",C213
9776,Mobile App Beta,2021-09,A001,88465,88401,19095,7129,67.39,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C213
9777,Mobile App Beta,2021-10,A004,202614,82660,22028,15761,70.09,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C213
9778,Mobile App Beta,2021-11,A004,266566,36620,26646,25852,46.48,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C213
9779,Mobile App Beta,2021-12,A003,225513,82165,28801,9776,79.55,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C213
9780,Responsive Web Version,2021-01,A003,258198,87129,24460,17980,55.04,nan,C213
9781,Responsive Web Version,2021-02,A002,142126,82859,7654,12527,79.55,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C213
9782,Responsive Web Version,2021-03,A003,244442,73015,39410,25645,60.51,nan,C213
9783,Responsive Web Version,2021-04,A004,312233,116929,18823,12852,58.11,"The site takes too long to load on average phones.
People didn’t wait around.",C213
9784,Responsive Web Version,2021-05,A001,205736,93864,35494,21294,54.23,"The site takes too long to load on average phones.
People didn’t wait around.",C213
9785,Responsive Web Version,2021-06,A003,231986,69075,30385,10643,40.07,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C213
9786,Responsive Web Version,2021-07,A003,197788,76659,41687,19620,98.22,"The site takes too long to load on average phones.
People didn’t wait around.",C213
9787,Responsive Web Version,2021-08,A002,251120,81503,16064,13390,57.41,nan,C213
9788,Responsive Web Version,2021-09,A001,125382,62583,29574,16957,69.25,"The site takes too long to load on average phones.
People didn’t wait around.",C213
9789,Responsive Web Version,2021-10,A002,206572,73914,36501,6316,54.79,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C213
9790,Responsive Web Version,2021-11,A001,226858,25721,15562,16148,62.03,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C213
9791,Responsive Web Version,2021-12,A002,229047,58937,13101,10634,69.04,"The site takes too long to load on average phones.
People didn’t wait around.",C213
9792,PDF WhatsApp Push,2021-01,A001,183490,80131,24897,11137,50.71,nan,C214
9793,PDF WhatsApp Push,2021-02,A004,157982,80364,27102,14882,61.61,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C214
9794,PDF WhatsApp Push,2021-03,A001,191573,100499,27209,5501,73.38,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C214
9795,PDF WhatsApp Push,2021-04,A004,172324,61968,12050,14996,42.9,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9796,PDF WhatsApp Push,2021-05,A004,101390,76656,25096,18853,69.18,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C214
9797,PDF WhatsApp Push,2021-06,A003,327712,89825,18007,11861,67.53,nan,C214
9798,PDF WhatsApp Push,2021-07,A002,318280,42025,14633,20847,64.47,nan,C214
9799,PDF WhatsApp Push,2021-08,A001,173965,78064,11305,18754,79.7,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9800,PDF WhatsApp Push,2021-09,A002,126077,71405,41641,12739,74.09,nan,C214
9801,PDF WhatsApp Push,2021-10,A004,235149,44712,35557,10263,62.95,nan,C214
9802,PDF WhatsApp Push,2021-11,A002,233140,82230,31288,18477,67.61,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9803,PDF WhatsApp Push,2021-12,A001,217134,75182,30023,13957,49.12,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C214
9804,E-paper Mobile Web,2021-01,A004,286124,70123,18252,14816,48.62,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C214
9805,E-paper Mobile Web,2021-02,A003,278926,85236,15337,20735,102.95,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9806,E-paper Mobile Web,2021-03,A004,235803,67806,31793,23751,66.26,nan,C214
9807,E-paper Mobile Web,2021-04,A003,189510,64710,27616,5244,56.24,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9808,E-paper Mobile Web,2021-05,A002,170686,84215,34427,22409,87.45,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9809,E-paper Mobile Web,2021-06,A003,255200,73986,21045,14945,93.65,nan,C214
9810,E-paper Mobile Web,2021-07,A004,245759,73747,5215,21405,62.08,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C214
9811,E-paper Mobile Web,2021-08,A002,224989,69164,29006,22929,57.24,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9812,E-paper Mobile Web,2021-09,A002,147170,88507,24774,20286,80.74,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C214
9813,E-paper Mobile Web,2021-10,A002,194203,89237,27084,22779,77.67,nan,C214
9814,E-paper Mobile Web,2021-11,A004,238526,97245,28373,4228,47.38,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C214
9815,E-paper Mobile Web,2021-12,A004,295978,87688,32862,13479,64.46,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9816,Mobile App Beta,2021-01,A001,250471,85837,75,15388,60.83,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9817,Mobile App Beta,2021-02,A002,211465,66832,28695,12446,29.12,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C214
9818,Mobile App Beta,2021-03,A003,263209,79235,27882,21770,73.06,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9819,Mobile App Beta,2021-04,A002,201004,85879,18322,16016,65.69,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C214
9820,Mobile App Beta,2021-05,A002,241217,72459,14327,12257,75.13,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9821,Mobile App Beta,2021-06,A003,147469,60672,23608,14110,64.97,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C214
9822,Mobile App Beta,2021-07,A003,184950,67069,24520,10365,71.98,nan,C214
9823,Mobile App Beta,2021-08,A003,164936,57627,35926,15708,66.19,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9824,Mobile App Beta,2021-09,A004,183950,50707,35296,20488,66.37,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9825,Mobile App Beta,2021-10,A002,268154,88284,33526,8854,52.59,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9826,Mobile App Beta,2021-11,A004,233548,32923,31953,20558,79.84,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C214
9827,Mobile App Beta,2021-12,A003,186687,45247,5551,15285,58.55,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9828,Responsive Web Version,2021-01,A003,124581,86821,564,19278,55.71,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C214
9829,Responsive Web Version,2021-02,A004,232319,19834,36987,21931,62.61,nan,C214
9830,Responsive Web Version,2021-03,A001,218961,60683,29248,2601,40.93,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C214
9831,Responsive Web Version,2021-04,A002,139349,52629,30521,14588,71.32,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C214
9832,Responsive Web Version,2021-05,A004,177209,75970,37859,14731,44.15,nan,C214
9833,Responsive Web Version,2021-06,A003,200326,73635,7236,13984,42.61,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C214
9834,Responsive Web Version,2021-07,A002,174289,101709,37516,13814,55.08,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9835,Responsive Web Version,2021-08,A003,174274,68716,34039,15195,56.93,"The site takes too long to load on average phones.
People didn’t wait around.",C214
9836,Responsive Web Version,2021-09,A003,114940,70408,35030,6479,61.28,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C214
9837,Responsive Web Version,2021-10,A003,241736,64142,26993,18256,60.62,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C214
9838,Responsive Web Version,2021-11,A004,172734,57294,30562,19164,65.94,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C214
9839,Responsive Web Version,2021-12,A001,287277,65941,26487,19507,59.95,nan,C214
9840,PDF WhatsApp Push,2021-01,A001,212274,28931,33318,15247,78.53,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C215
9841,PDF WhatsApp Push,2021-02,A002,195353,77046,24400,15741,63.56,nan,C215
9842,PDF WhatsApp Push,2021-03,A002,190547,71498,27601,23537,71.25,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C215
9843,PDF WhatsApp Push,2021-04,A002,202922,56945,21996,18123,65.71,nan,C215
9844,PDF WhatsApp Push,2021-05,A001,174951,60407,17866,15742,77.03,"The site takes too long to load on average phones.
People didn’t wait around.",C215
9845,PDF WhatsApp Push,2021-06,A001,197320,53257,32810,8481,62.13,"The site takes too long to load on average phones.
People didn’t wait around.",C215
9846,PDF WhatsApp Push,2021-07,A001,146824,107278,19312,12151,54.67,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C215
9847,PDF WhatsApp Push,2021-08,A003,277378,55282,17272,6137,73.94,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C215
9848,PDF WhatsApp Push,2021-09,A004,189576,65089,16709,15768,63.09,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C215
9849,PDF WhatsApp Push,2021-10,A004,168399,84704,23808,21832,56.8,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C215
9850,PDF WhatsApp Push,2021-11,A003,140945,127282,2358,17290,83.25,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C215
9851,PDF WhatsApp Push,2021-12,A002,235534,52008,27728,8521,91.36,"The site takes too long to load on average phones.
People didn’t wait around.",C215
9852,E-paper Mobile Web,2021-01,A004,169762,71388,35728,15647,85.03,nan,C215
9853,E-paper Mobile Web,2021-02,A004,154539,65894,-1387,11945,49.43,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C215
9854,E-paper Mobile Web,2021-03,A001,203591,76515,18890,13443,70.41,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C215
9855,E-paper Mobile Web,2021-04,A003,318066,66755,28625,10940,71.46,nan,C215
9856,E-paper Mobile Web,2021-05,A001,239258,72810,28844,20413,44.95,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C215
9857,E-paper Mobile Web,2021-06,A001,205072,68093,25692,11867,54.87,nan,C215
9858,E-paper Mobile Web,2021-07,A003,172041,26570,10487,20973,86.78,"The site takes too long to load on average phones.
People didn’t wait around.",C215
9859,E-paper Mobile Web,2021-08,A003,227440,53531,14958,15691,52.22,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C215
9860,E-paper Mobile Web,2021-09,A001,243645,54926,35449,17557,46.04,"The site takes too long to load on average phones.
People didn’t wait around.",C215
9861,E-paper Mobile Web,2021-10,A001,253788,53170,47311,19144,76.44,nan,C215
9862,E-paper Mobile Web,2021-11,A001,260426,66008,25280,17546,51.58,"The site takes too long to load on average phones.
People didn’t wait around.",C215
9863,E-paper Mobile Web,2021-12,A003,164624,74696,13739,16394,64.09,nan,C215
9864,Mobile App Beta,2021-01,A003,298967,57179,49020,16328,61.01,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C215
9865,Mobile App Beta,2021-02,A003,191786,67448,22111,13667,58.37,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C215
9866,Mobile App Beta,2021-03,A004,232759,43852,23247,21411,52.29,"The site takes too long to load on average phones.
People didn’t wait around.",C215
9867,Mobile App Beta,2021-04,A002,183908,55518,15576,19991,80.43,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C215
9868,Mobile App Beta,2021-05,A001,254985,95363,15671,18934,76.3,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C215
9869,Mobile App Beta,2021-06,A002,257366,73127,20220,5342,72.63,nan,C215
9870,Mobile App Beta,2021-07,A002,157685,97268,20502,20561,93.5,"The site takes too long to load on average phones.
People didn’t wait around.",C215
9871,Mobile App Beta,2021-08,A004,186072,49140,26845,14057,53.33,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C215
9872,Mobile App Beta,2021-09,A004,242515,72887,40327,14371,66.17,nan,C215
9873,Mobile App Beta,2021-10,A002,165486,79599,18414,15765,72.16,nan,C215
9874,Mobile App Beta,2021-11,A001,185201,75715,22723,11042,27.46,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C215
9875,Mobile App Beta,2021-12,A003,225291,82075,12228,6270,49.37,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C215
9876,Responsive Web Version,2021-01,A002,226519,100239,22310,12593,52.25,nan,C215
9877,Responsive Web Version,2021-02,A004,226983,97249,35720,14681,63.45,nan,C215
9878,Responsive Web Version,2021-03,A003,180340,95566,18088,12520,73.87,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C215
9879,Responsive Web Version,2021-04,A002,247925,108682,14494,18028,44.46,nan,C215
9880,Responsive Web Version,2021-05,A001,124898,84961,13869,12397,72.61,nan,C215
9881,Responsive Web Version,2021-06,A002,214577,62044,32737,21044,45.93,"The site takes too long to load on average phones.
People didn’t wait around.",C215
9882,Responsive Web Version,2021-07,A003,269947,62111,31415,8838,65.46,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C215
9883,Responsive Web Version,2021-08,A002,216294,78501,22841,11528,47.01,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C215
9884,Responsive Web Version,2021-09,A004,148771,22618,25169,3821,58.46,"The site takes too long to load on average phones.
People didn’t wait around.",C215
9885,Responsive Web Version,2021-10,A001,247479,102313,35129,15370,65.72,nan,C215
9886,Responsive Web Version,2021-11,A002,268193,54073,33410,9397,79.18,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C215
9887,Responsive Web Version,2021-12,A001,283031,79113,45257,10242,86.07,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C215
9888,PDF WhatsApp Push,2021-01,A002,237045,90848,29542,13728,60.8,nan,C216
9889,PDF WhatsApp Push,2021-02,A004,177905,98117,-1960,16413,83.84,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C216
9890,PDF WhatsApp Push,2021-03,A001,191580,70739,17502,15996,68.5,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C216
9891,PDF WhatsApp Push,2021-04,A003,98631,54400,36887,11319,57.7,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C216
9892,PDF WhatsApp Push,2021-05,A003,306114,60893,3937,10686,70.25,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C216
9893,PDF WhatsApp Push,2021-06,A001,238446,37579,20233,1704,58.44,nan,C216
9894,PDF WhatsApp Push,2021-07,A003,167427,77216,22533,16288,72.32,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C216
9895,PDF WhatsApp Push,2021-08,A001,114170,87635,35137,16193,41.98,nan,C216
9896,PDF WhatsApp Push,2021-09,A001,240623,65519,44734,26268,76.55,nan,C216
9897,PDF WhatsApp Push,2021-10,A003,185673,20218,32660,8408,82.21,"The site takes too long to load on average phones.
People didn’t wait around.",C216
9898,PDF WhatsApp Push,2021-11,A004,115345,68652,35953,9583,40.6,"The site takes too long to load on average phones.
People didn’t wait around.",C216
9899,PDF WhatsApp Push,2021-12,A001,154933,81963,15376,10492,79.45,nan,C216
9900,E-paper Mobile Web,2021-01,A001,189667,84220,41588,14083,48.51,"The site takes too long to load on average phones.
People didn’t wait around.",C216
9901,E-paper Mobile Web,2021-02,A001,192937,57471,23815,11258,64.51,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C216
9902,E-paper Mobile Web,2021-03,A003,263074,82316,25235,19780,43.42,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C216
9903,E-paper Mobile Web,2021-04,A004,278185,61737,24735,9747,77.16,nan,C216
9904,E-paper Mobile Web,2021-05,A004,195181,42921,17699,14806,53.39,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C216
9905,E-paper Mobile Web,2021-06,A004,236061,78121,16018,7604,73.95,nan,C216
9906,E-paper Mobile Web,2021-07,A001,308671,59205,10226,14542,73.64,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C216
9907,E-paper Mobile Web,2021-08,A002,156787,57590,24754,17585,59.38,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C216
